	clean_soil_DNA_FAO38935	cleansoil_flongle_DNA_AGE664	DNAsoilfloAJA479	DNAsoilfloAJC256	DNAsoilfloFAL61026	DNAsoilfloFAN24302	soil_flongle_cDNA_AIK045	soil_flongle_DNA_AGB452	tuber_flongle_cDNA_AIG433
Alternaria alternata	911	98	109	127	2248	3494	4	32	2
Alternaria solani	1354	171	172	203	3483	5253	0	36	1
Ca Liberibacter solanacearum	338	31	30	33	595	893	254	4	7
Clavibacter michiganensis sepedonicus	47502	10601	9524	9163	130954	226399	169	1673	10
Colletotrichum coccodes	4580	712	616	651	12443	16036	9	141	1
Dickeya dadantii	7398	1234	670	866	12625	19617	80	148	56
Dickeya dianthicola	6836	1082	794	956	11538	17800	57	132	474
Dickeya solani	6846	1117	654	792	11864	18341	58	142	96
Fusarium oxysporum	2000	252	240	325	5358	7697	5	67	3
Fusarium sambucinum	561	55	64	103	1519	2139	4	19	2
Globodera ellingtonae	2129	245	282	356	5866	6114	7	62	59
Globodera pallida	2109	272	296	365	6059	6336	9	48	67
Globodera rostachiensis	1956	232	280	339	5303	5968	3	42	42
Helminthosporium solani	1018	128	143	158	2487	3918	5	25	2
Meloidogyne chitwoodi	1445	163	188	200	4675	3323	7	36	46
Meloidogyne fallax	1	0	0	0	0	0	0	0	0
Meloidogyne hapla	2606	356	357	360	7098	6492	24	60	157
Meloidogyne incognita	2431	262	387	383	7488	5738	15	67	306
Pectobacterium atrosepticum	1841	263	175	238	10225	5341	100	34	80
Pectobacterium carotovora	2273	363	208	314	13440	6673	153	57	113
Phytophthora erythroseptica	0	0	0	0	1	0	1	0	0
Phytophthora infestans	2670	311	297	395	6676	10124	18	67	6
Potato leaf roll virus, PLRV	0	0	0	0	0	0	0	0	0
Potato mop top virus, PMTV	0	0	0	0	0	1	0	0	6
Potato virus Y, PVY	0	0	0	0	0	1	0	0	0
Pratylenchus neglectus	0	0	0	0	0	0	0	0	0
Pratylenchus penetrans	0	0	0	0	0	0	0	0	0
Pythium ultimum	7022	959	805	950	16849	22640	15	214	1
Ralstonia solanacearum	45262	8361	5829	6193	94682	137576	755	1137	55
Rhizoctonia solani	352	46	49	73	915	1530	1	13	11
Sclerotinia sclerotiorum	624	53	81	96	1646	1805	4	23	9
Athelia rolfsii	794	110	99	115	1951	2651	5	16	8
Spongospora subterranea	506	50	64	102	4328	1864	8	92	5
Streptomyces spp.	49285	11001	9197	7311	164196	213998	162	2301	10
Synchytrium endobioticum	431	66	48	77	1009	1636	2	15	0
Tobacco Rattle Virus, TRV	0	0	0	0	0	0	0	0	0
Verticillium dahliae	8506	1325	1127	1080	22361	26368	17	260	1
Stuberosum	2864	247	403	465	8303	7664	36	82	184
