	clean_soil_DNA_FAO38935	cleansoil_flongle_DNA_AGE664	DNAsoilfloAJA479	DNAsoilfloAJC256	DNAsoilfloFAL61026	DNAsoilfloFAN24302	soil_flongle_cDNA_AIK045	soil_flongle_DNA_AGB452	tuber_flongle_cDNA_AIG433
Alternaria alternata	17	0	3	4	103	122	6	1	1
Alternaria solani	23	1	3	2	63	106	2	1	1
Ca Liberibacter solanacearum	13	4	4	2	20	34	39	2	3
Clavibacter michiganensis sepedonicus	2608	937	468	316	6261	13846	38	80	1
Colletotrichum coccodes	57	20	16	12	268	266	7	2	4
Dickeya dadantii	568	163	55	74	536	1528	286	8	107
Dickeya dianthicola	544	132	55	72	521	1389	313	8	107
Dickeya solani	497	146	45	74	506	1359	276	8	92
Fusarium oxysporum	58	2	5	8	285	197	10	7	2
Fusarium sambucinum	14	1	2	4	161	98	20	1	0
Globodera ellingtonae	34	3	7	22	79	88	3	1	0
Globodera pallida	44	3	14	32	84	127	3	0	0
Globodera rostachiensis	57	2	9	33	87	116	8	1	0
Helminthosporium solani	39	2	4	8	76	74	4	0	0
Meloidogyne chitwoodi	3	0	0	1	5	4	0	0	0
Meloidogyne fallax	0	0	0	0	0	0	0	0	0
Meloidogyne hapla	63	13	6	11	97	216	9	0	0
Meloidogyne incognita	13	1	2	8	25	36	1	0	0
Pectobacterium atrosepticum	72	17	6	5	2943	187	259	3	100
Pectobacterium carotovora	102	25	13	10	7353	277	325	3	107
Phytophthora erythroseptica	0	0	0	0	1	0	0	0	0
Phytophthora infestans	23	4	2	6	40	84	6	0	0
Potato leaf roll virus, PLRV	0	0	0	0	0	0	0	0	0
Potato mop top virus, PMTV	0	0	0	0	0	0	0	0	6
Potato virus Y, PVY	0	0	0	0	0	0	0	0	0
Pratylenchus neglectus	0	0	0	0	0	0	0	0	0
Pratylenchus penetrans	0	0	0	0	0	0	0	0	0
Pythium ultimum	51	11	13	11	78	210	11	1	0
Ralstonia solanacearum	4321	1007	626	788	5430	13585	32	70	4
Rhizoctonia solani	0	0	0	0	8	8	4	0	0
Sclerotinia sclerotiorum	22	3	2	4	335	56	2	1	2
Athelia rolfsii	3	2	0	0	7	10	4	0	0
Spongospora subterranea	2	0	4	24	2190	10	12	42	0
Streptomyces spp.	3010	1162	836	476	12442	25456	20	373	2
Synchytrium endobioticum	1	0	0	0	0	2	2	0	1
Tobacco Rattle Virus, TRV	0	0	0	0	0	0	0	0	0
Verticillium dahliae	90	17	15	13	245	374	0	4	0
Stuberosum	18	2	3	4	185	63	8	0	112
